invoice_number,sales_order,buyer,amount,tax,total,invoice_date,due_date,payment_status
INV-001,ORD-001,Fashion Forward Inc,12495.00,1124.55,13619.55,2024-03-01,2024-03-31,paid
INV-002,ORD-002,StyleHub Global,25998.00,2339.82,28337.82,2024-03-16,2024-04-30,paid
INV-003,ORD-003,TrendWear Ltd,31496.50,2834.69,34331.19,2024-03-21,2024-04-20,paid
INV-004,ORD-004,Pacific Apparel Co,37498.50,3374.87,40873.37,2024-04-02,2024-06-01,paid
INV-005,ORD-005,Nordic Fashion AS,53997.00,4859.73,58856.73,2024-04-11,2024-05-11,paid
INV-006,ORD-006,Coastal Brands LLC,59996.00,5399.64,65395.64,2024-04-16,2024-05-31,paid
INV-007,ORD-007,EuroStyle GmbH,29999.00,2699.91,32698.91,2024-05-02,2024-06-01,paid
INV-008,ORD-008,Fashion Forward Inc,35994.00,3239.46,39233.46,2024-05-11,2024-06-10,pending
INV-009,ORD-009,Urban Threads Inc,40495.50,3644.60,44140.10,2024-05-16,2024-06-15,pending
INV-010,ORD-010,Silk Road Fashion,43992.00,3959.28,47951.28,2024-06-01,2024-07-31,pending
INV-011,ORD-011,Southern Hemisphere Co,27499.50,2474.96,29974.46,2024-06-16,2024-07-16,pending
INV-012,ORD-012,StyleHub Global,34198.20,3077.84,37276.04,2024-06-21,2024-08-05,overdue
INV-013,ORD-013,TrendWear Ltd,27497.50,2474.78,29972.28,2024-06-26,2024-07-26,overdue
INV-014,ORD-014,Coastal Brands LLC,41996.50,3779.69,45776.19,2024-07-02,2024-08-01,overdue
INV-015,ORD-015,Fashion Forward Inc,29990.00,2699.10,32689.10,2024-07-11,2024-08-10,pending
