style_number,description,category,supplier,fabric,color,size_range,season,price,status,image_url
STY-001,Classic Cotton Tee,Tops,Textile Corp,Cotton,White,XS-3XL,Spring 2024,24.99,active,
STY-002,Floral Wrap Dress,Dresses,Golden Thread Mills,Cotton,Floral Print,XS-XL,Spring 2024,89.99,active,
STY-003,Slim Fit Chinos,Bottoms,Fabric World Ltd,Cotton Blend,Navy,28-38,Spring 2024,59.99,active,
STY-004,Silk Blouse,Tops,SilkWay Textiles,Silk,Ivory,XS-XL,Spring 2024,129.99,active,
STY-005,Denim Jacket,Outerwear,Pacific Denim Co,Denim,Indigo Blue,XS-XXL,Fall 2024,149.99,active,
STY-006,Merino Wool Sweater,Tops,Andean Wool Cooperative,Merino Wool,Charcoal Grey,XS-XXL,Fall 2024,179.99,active,
STY-007,Linen Wide-Leg Trousers,Bottoms,Golden Thread Mills,Linen,Sand Beige,26-36,Summer 2024,79.99,active,
STY-008,Satin Evening Dress,Dresses,SilkWay Textiles,Satin,Midnight Black,XS-XL,Fall 2024,249.99,active,
STY-009,Organic Cotton Hoodie,Tops,EcoFiber Solutions,Organic Cotton,Forest Green,XS-3XL,Fall 2024,89.99,active,
STY-010,Cashmere Cardigan,Tops,Mediterranean Fabrics,Cashmere,Camel,XS-XXL,Fall 2024,299.99,active,
STY-011,Stripe Knit Dress,Dresses,Ankara Textiles,Jersey Knit,Navy Stripe,XS-XL,Spring 2024,109.99,active,
STY-012,Cargo Joggers,Bottoms,Fabric World Ltd,Cotton Blend,Olive Green,XS-XXL,Fall 2024,69.99,active,
STY-013,Embroidered Kurta,Tops,Golden Thread Mills,Cotton,Sky Blue,S-3XL,Summer 2024,54.99,active,
STY-014,Pleated Midi Skirt,Bottoms,SilkWay Textiles,Satin,Dusty Rose,XS-XL,Spring 2024,99.99,active,
STY-015,Technical Windbreaker,Outerwear,EcoFiber Solutions,Recycled Polyester,Cobalt Blue,XS-XXL,Fall 2024,189.99,active,
STY-016,Raw Hem Jeans,Bottoms,Pacific Denim Co,Denim,Light Wash,26-36,Spring 2024,119.99,active,
STY-017,Alpaca Coat,Outerwear,Andean Wool Cooperative,Alpaca Wool,Oat,XS-XL,Winter 2024,549.99,active,
STY-018,Tie-Front Blouse,Tops,SilkWay Textiles,Silk Chiffon,Blush Pink,XS-XL,Spring 2024,139.99,active,
STY-019,Ponte Blazer,Outerwear,Ankara Textiles,Ponte Knit,Black,XS-XXL,Fall 2024,219.99,active,
STY-020,Linen Shirt Dress,Dresses,Golden Thread Mills,Linen,White,XS-XL,Summer 2024,119.99,active,
STY-021,Velvet Mini Dress,Dresses,Mediterranean Fabrics,Velvet,Burgundy,XS-XL,Winter 2024,189.99,active,
STY-022,Graphic Tee,Tops,Textile Corp,Cotton,Black,XS-3XL,Summer 2024,29.99,active,
STY-023,Corduroy Pants,Bottoms,Fabric World Ltd,Corduroy,Rust,28-38,Fall 2024,89.99,active,
STY-024,Off-Shoulder Top,Tops,BanglaStitch Ltd,Cotton Voile,White,XS-XL,Summer 2024,44.99,active,
STY-025,Trench Coat,Outerwear,Mediterranean Fabrics,Gabardine,Camel,XS-XXL,Fall 2024,399.99,active,
